特征ID,词汇
0,00
1,000
2,01
3,02
4,03
5,04
6,05
7,06
8,07
9,08
10,09
11,0d
12,0el
13,0g
14,0i
15,0q
16,0t
17,10
18,100
19,1000
20,101
21,102
22,104
23,105
24,109
25,11
26,110
27,12
28,120
29,1200
30,125
31,127
32,128
33,129
34,13
35,130
36,132
37,14
38,140
39,141
40,144
41,145
42,146
43,147
44,15
45,150
46,16
47,160
48,17
49,18
50,19
51,1915
52,1919
53,192
54,1920
55,1967
56,1975
57,1980
58,1982
59,1983
60,1984
61,1985
62,1986
63,1987
64,1988
65,1989
66,1990
67,1991
68,1992
69,1993
70,1993apr14
71,1993apr15
72,1993apr16
73,1993apr17
74,1993apr18
75,1993apr19
76,1993apr20
77,1993apr21
78,1993apr22
79,1993apr23
80,1993apr26
81,1993apr5
82,1d
83,1d9
84,1f
85,1m
86,1st
87,1t
88,20
89,200
90,2000
91,202
92,205
93,206
94,21
95,212
96,214
97,215
98,216
99,22
100,220
101,225
102,23
103,24
104,240
105,2400
106,24e
107,25
108,250
109,255
110,256
111,26
112,27
113,275
114,28
115,286
116,29
117,2d
118,2di
119,2nd
120,2pl
121,2q
122,2tm
123,30
124,300
125,3000
126,301
127,303
128,31
129,310
130,313
131,32
132,32bis
133,33
134,333
135,34
136,34u
137,35
138,350
139,36
140,37
141,38
142,386
143,39
144,3b
145,3d
146,3dy
147,3l
148,3rd
149,3t
150,40
151,400
152,4000
153,408
154,41
155,415
156,416
157,42
158,43
159,44
160,45
161,46
162,47
163,48
164,486
165,49
166,4e
167,4t
168,4th
169,4u
170,50
171,500
172,5000
173,508
174,51
175,510
176,512
177,52
178,53
179,54
180,55
181,56
182,57
183,58
184,59
185,5u
186,60
187,600
188,6000
189,602
190,604
191,61
192,617
193,62
194,63
195,64
196,65
197,650
198,66
199,67
200,68
201,69
202,6e
203,6ei
204,6g
205,6p
206,6t
207,6um
208,70
209,700
210,703
211,708
212,71
213,713
214,714
215,72
216,73
217,74
218,75
219,750
220,75u
221,76
222,77
223,78
224,79
225,7ey
226,7kn
227,7u
228,80
229,800
230,805
231,81
232,82
233,83
234,84
235,85
236,86
237,87
238,88
239,89
240,90
241,900
242,908
243,91
244,919
245,92
246,93
247,94
248,95
249,96
250,97
251,98
252,99
253,9f
254,9v
255,__
256,___
257,____
258,_____
259,______
260,_______
261,_o
262,_the
263,a4
264,a7
265,a86
266,aaron
267,ab
268,abc
269,ability
270,able
271,abortion
272,about
273,above
274,absolute
275,absolutely
276,absurd
277,abuse
278,ac
279,academic
280,acc
281,accelerator
282,accept
283,acceptable
284,accepted
285,access
286,accident
287,according
288,account
289,accounts
290,accuracy
291,accurate
292,achieve
293,acid
294,acm
295,acns
296,acquired
297,across
298,acs
299,acsu
300,act
301,acting
302,action
303,actions
304,active
305,activism
306,activities
307,activity
308,acts
309,actual
310,actually
311,ad
312,adam
313,adams
314,adaptec
315,adapter
316,add
317,added
318,adding
319,addition
320,additional
321,address
322,addresses
323,adl
324,admin
325,administration
326,administrator
327,admit
328,adobe
329,ads
330,adult
331,adults
332,advance
333,advanced
334,advantage
335,advertising
336,advice
337,advocacy
338,af
339,affect
340,affected
341,afford
342,afraid
343,africa
344,african
345,after
346,again
347,against
348,agate
349,age
350,agencies
351,agency
352,agenda
353,agent
354,agents
355,ago
356,agree
357,agreed
358,agreement
359,ah
360,ahead
361,ahl
362,ai
363,aid
364,aids
365,ain
366,air
367,aircraft
368,aix
369,aka
370,al
371,alan
372,alaska
373,albert
374,alchemy
375,alcohol
376,alexander
377,alexia
378,algorithm
379,algorithms
380,alien
381,alive
382,all
383,alleged
384,allen
385,allocation
386,allow
387,allowed
388,allowing
389,allows
390,almost
391,alone
392,along
393,alot
394,alpha
395,already
396,also
397,alt
398,alternative
399,although
400,always
401,am
402,ama
403,amateur
404,amazing
405,amdahl
406,amendment
407,america
408,american
409,americans
410,ames
411,amiga
412,among
413,amount
414,amounts
415,amp
416,an
417,analog
418,analogy
419,analysis
420,anatolia
421,ancient
422,and
423,anderson
424,andrew
425,andy
426,angeles
427,angels
428,anger
429,angle
430,animal
431,animals
432,animation
433,ann
434,announce
435,announced
436,announcement
437,annual
438,anonymous
439,another
440,ans
441,ansi
442,answer
443,answered
444,answers
445,antenna
446,anthony
447,anti
448,antique
449,any
450,anybody
451,anymore
452,anyone
453,anything
454,anyway
455,anywhere
456,ap
457,apart
458,apartment
459,apc
460,apollo
461,app
462,apparent
463,apparently
464,appeal
465,appear
466,appearance
467,appeared
468,appears
469,apple
470,application
471,applications
472,applied
473,applies
474,apply
475,appreciate
476,appreciated
477,appressian
478,approach
479,appropriate
480,approved
481,approximately
482,apps
483,apr
484,april
485,ar
486,arab
487,arabic
488,arabs
489,arc
490,archie
491,archive
492,archives
493,are
494,area
495,areas
496,aren
497,arena
498,argic
499,argue
500,arguing
501,argument
502,arguments
503,ariel
504,arithmetic
505,arizona
506,arm
507,armed
508,armenia
509,armenian
510,armenians
511,arms
512,army
513,around
514,array
515,arrived
516,arromdee
517,art
518,arthur
519,article
520,articles
521,artificial
522,arts
523,as
524,ascii
525,asd
526,aside
527,ask
528,asked
529,asking
530,asks
531,aspect
532,aspects
533,ass
534,assault
535,assembly
536,assert
537,assertion
538,assistance
539,associate
540,associated
541,association
542,assume
543,assumed
544,assuming
545,assumption
546,assumptions
547,astro
548,astronomy
549,asuvax
550,at
551,atari
552,atf
553,atheism
554,atheist
555,atheists
556,athena
557,athens
558,athos
559,ati
560,atlanta
561,atlantic
562,atmosphere
563,atomic
564,att
565,attached
566,attack
567,attacked
568,attacking
569,attacks
570,attempt
571,attempted
572,attempting
573,attempts
574,attention
575,attitude
576,attorney
577,attributed
578,au
579,audio
580,august
581,aurora
582,austin
583,australia
584,author
585,authorities
586,authority
587,authors
588,auto
589,automatic
590,automatically
591,autos
592,availability
593,available
594,ave
595,avenue
596,average
597,avoid
598,award
599,aware
600,away
601,awful
602,ax
603,azerbaijan
604,azerbaijani
605,azerbaijanis
606,azeri
607,azeris
608,b6
609,b8
610,b8f
611,b9r
612,ba
613,baalke
614,baby
615,back
616,background
617,backup
618,bad
619,badly
620,bag
621,baker
622,baku
623,balance
624,balcony
625,ball
626,balls
627,baltimore
628,ban
629,band
630,bank
631,banks
632,bar
633,barr
634,barry
635,base
636,baseball
637,based
638,bases
639,basic
640,basically
641,basis
642,bat
643,batcomputer
644,batf
645,batman
646,batteries
647,battery
648,battle
649,baud
650,bay
651,bb3
652,bbn
653,bbs
654,bc
655,bd
656,be
657,beach
658,bear
659,bears
660,beat
661,beating
662,beautiful
663,became
664,because
665,become
666,becomes
667,becoming
668,bed
669,bedfellow
670,been
671,beer
672,before
673,began
674,begin
675,beginning
676,begins
677,behanna
678,behavior
679,behaviour
680,behind
681,being
682,beings
683,belief
684,beliefs
685,believe
686,believed
687,believers
688,believes
689,believing
690,bell
691,bellcore
692,belong
693,below
694,belt
695,benefit
696,benefits
697,berkeley
698,berlin
699,besides
700,best
701,bet
702,beta
703,better
704,between
705,beyond
706,bh
707,bhj
708,bi
709,bible
710,biblical
711,big
712,bigger
713,biggest
714,bike
715,bikes
716,bill
717,billion
718,bin
719,binaries
720,binary
721,bio
722,biology
723,bios
724,birth
725,bit
726,bitmap
727,bitnet
728,bits
729,biz
730,bj
731,bl
732,black
733,blah
734,blame
735,blind
736,block
737,blocks
738,blood
739,blow
740,blue
741,blues
742,bmp
743,bmw
744,bnr
745,bnrgate
746,board
747,boards
748,bob
749,bobby
750,bodies
751,body
752,boeing
753,bogus
754,bomb
755,bony1
756,book
757,books
758,boost
759,boot
760,border
761,borders
762,born
763,bos
764,bosna
765,bosnia
766,bosnian
767,boston
768,both
769,bother
770,bottom
771,bought
772,boulder
773,bounce
774,bound
775,box
776,boxes
777,boy
778,boys
779,bps
780,br
781,brad
782,bradley
783,brain
784,brake
785,brakes
786,branch
787,brand
788,brandeis
789,braves
790,break
791,breaking
792,brent
793,brett
794,brian
795,brief
796,bright
797,bring
798,britain
799,british
800,broad
801,broadcast
802,broke
803,broken
804,brother
805,brothers
806,brought
807,brown
808,bruce
809,bruins
810,bs
811,btw
812,bu
813,budget
814,buf
815,buffalo
816,buffer
817,bug
818,bugs
819,build
820,building
821,buildings
822,built
823,bull
824,bulletin
825,bullets
826,bullock
827,bunch
828,burn
829,burned
830,burning
831,burst
832,bus
833,bush
834,business
835,busy
836,but
837,button
838,buy
839,buying
840,bxn
841,by
842,byte
843,bytes
844,byu
845,c8
846,c8v
847,ca
848,cable
849,cables
850,cache
851,cactus
852,cad
853,caen
854,cage
855,cal
856,calgary
857,california
858,call
859,called
860,calling
861,callison
862,calls
863,calm
864,calpoly
865,caltech
866,cam
867,cambridge
868,came
869,camera
870,camp
871,campaign
872,campus
873,can
874,canada
875,canadian
876,cancer
877,candida
878,candidates
879,cannot
880,canon
881,cantaloupe
882,capabilities
883,capability
884,capable
885,capacity
886,capital
887,caps
888,captain
889,capture
890,car
891,card
892,cards
893,care
894,career
895,careful
896,carefully
897,cares
898,carl
899,carleton
900,carried
901,carry
902,carrying
903,cars
904,carson
905,carter
906,case
907,cases
908,cash
909,cat
910,catalog
911,catch
912,category
913,catholic
914,catholics
915,caught
916,cause
917,caused
918,causes
919,causing
920,cb
921,cc
922,cco
923,ccs
924,cd
925,cdc
926,cdrom
927,cdt
928,cell
